group_name,group_level,strata_name,strata_level,variable,variable_level,variable_type,estimate_type,estimate,cdm_name,result_type
cohort_name,simvastatin,Overall,Overall,number_eras,NA,numeric,mean,2.25314832089552,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_eras,NA,numeric,sd,2.32252264973576,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_eras,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_eras,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_daily_dose_percentage,NA,numeric,min,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_daily_dose_percentage,NA,numeric,q05,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_daily_dose_percentage,NA,numeric,q25,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_daily_dose_percentage,NA,numeric,median,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_daily_dose_percentage,NA,numeric,q75,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_daily_dose_percentage,NA,numeric,q95,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_daily_dose_percentage,NA,numeric,max,100,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_daily_dose_percentage,NA,numeric,mean,0.117519150162267,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_daily_dose_percentage,NA,numeric,sd,3.10961856560497,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_daily_dose_percentage,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_daily_dose_percentage,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_daily_dose_milligram,NA,numeric,min,0.666666666666667,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_daily_dose_milligram,NA,numeric,q05,10,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_daily_dose_milligram,NA,numeric,q25,20,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_daily_dose_milligram,NA,numeric,median,20,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_daily_dose_milligram,NA,numeric,q75,40,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_daily_dose_milligram,NA,numeric,q95,40,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_daily_dose_milligram,NA,numeric,max,840,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_daily_dose_milligram,NA,numeric,mean,24.5134131875144,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_daily_dose_milligram,NA,numeric,sd,16.1236350013446,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_daily_dose_milligram,NA,numeric,count_missing,58,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_daily_dose_milligram,NA,numeric,percentage_missing,0.0966151385927505,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_dose_milligram,NA,numeric,min,5,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_dose_milligram,NA,numeric,q05,300,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_dose_milligram,NA,numeric,q25,1160,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_dose_milligram,NA,numeric,median,2570,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_dose_milligram,NA,numeric,q75,6600,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_dose_milligram,NA,numeric,q95,19800,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_dose_milligram,NA,numeric,max,112800,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_dose_milligram,NA,numeric,mean,5312.16420907204,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_dose_milligram,NA,numeric,sd,7583.00454214805,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_dose_milligram,NA,numeric,count_missing,48,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_dose_milligram,NA,numeric,percentage_missing,0.0799573560767591,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number subjects,NA,numeric,count,253,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number records,NA,NA,count,253,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,duration,NA,numeric,min,4,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,duration,NA,numeric,q05,30,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,duration,NA,numeric,q25,61,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,duration,NA,numeric,median,91,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,duration,NA,numeric,q75,265,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,duration,NA,numeric,q95,583.199999999999,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,duration,NA,numeric,max,1176,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,duration,NA,numeric,mean,186.03557312253,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,duration,NA,numeric,sd,188.46066786655,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,duration,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,duration,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_exposures,NA,numeric,min,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_exposures,NA,numeric,q05,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_exposures,NA,numeric,q25,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_exposures,NA,numeric,median,2,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_exposures,NA,numeric,q75,7,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_exposures,NA,numeric,q95,16.8,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_exposures,NA,numeric,max,48,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_exposures,NA,numeric,mean,5.0395256916996,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_exposures,NA,numeric,sd,6.26707342369215,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_exposures,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_exposures,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_quantity,NA,numeric,min,15,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_quantity,NA,numeric,q05,30,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_quantity,NA,numeric,q25,60,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_quantity,NA,numeric,median,120,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_quantity,NA,numeric,q75,270,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_quantity,NA,numeric,q95,775.2,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_quantity,NA,numeric,max,1800,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_quantity,NA,numeric,mean,229.561264822134,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_quantity,NA,numeric,sd,288.541297836417,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_quantity,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_quantity,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_quantity,NA,numeric,min,6,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_quantity,NA,numeric,q05,30,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_quantity,NA,numeric,q25,30,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_quantity,NA,numeric,median,30,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_quantity,NA,numeric,q75,90,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_quantity,NA,numeric,q95,125.999999999998,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_quantity,NA,numeric,max,180,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_quantity,NA,numeric,mean,57.7154150197628,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_quantity,NA,numeric,sd,39.1634502165321,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_quantity,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_quantity,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_duration_percentage,NA,numeric,min,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_duration_percentage,NA,numeric,q05,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_duration_percentage,NA,numeric,q25,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_duration_percentage,NA,numeric,median,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_duration_percentage,NA,numeric,q75,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_duration_percentage,NA,numeric,q95,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_duration_percentage,NA,numeric,max,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_duration_percentage,NA,numeric,mean,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_duration_percentage,NA,numeric,sd,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_duration_percentage,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_duration_percentage,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_eras,NA,numeric,min,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_eras,NA,numeric,q05,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_eras,NA,numeric,q25,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_eras,NA,numeric,median,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_eras,NA,numeric,q75,3,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_eras,NA,numeric,q95,6,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_eras,NA,numeric,max,13,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_eras,NA,numeric,mean,2.3201581027668,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_eras,NA,numeric,sd,1.95288471371534,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_eras,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,number_eras,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_daily_dose_percentage,NA,numeric,min,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_daily_dose_percentage,NA,numeric,q05,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_daily_dose_percentage,NA,numeric,q25,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_daily_dose_percentage,NA,numeric,median,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_daily_dose_percentage,NA,numeric,q75,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_daily_dose_percentage,NA,numeric,q95,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_daily_dose_percentage,NA,numeric,max,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_daily_dose_percentage,NA,numeric,mean,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_daily_dose_percentage,NA,numeric,sd,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_daily_dose_percentage,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,impute_daily_dose_percentage,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_daily_dose_milligram,NA,numeric,min,5,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_daily_dose_milligram,NA,numeric,q05,5,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_daily_dose_milligram,NA,numeric,q25,10,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_daily_dose_milligram,NA,numeric,median,20,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_daily_dose_milligram,NA,numeric,q75,40,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_daily_dose_milligram,NA,numeric,q95,55.9999999999991,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_daily_dose_milligram,NA,numeric,max,120,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_daily_dose_milligram,NA,numeric,mean,24.1699604743083,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_daily_dose_milligram,NA,numeric,sd,18.3090414497307,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_daily_dose_milligram,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,initial_daily_dose_milligram,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_dose_milligram,NA,numeric,min,80,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_dose_milligram,NA,numeric,q05,300,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_dose_milligram,NA,numeric,q25,900,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_dose_milligram,NA,numeric,median,2100,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_dose_milligram,NA,numeric,q75,6000,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_dose_milligram,NA,numeric,q95,17880,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_dose_milligram,NA,numeric,max,65040,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_dose_milligram,NA,numeric,mean,4957.19367588933,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_dose_milligram,NA,numeric,sd,7689.87890215451,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_dose_milligram,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,0 to 19,cumulative_dose_milligram,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,number subjects,NA,numeric,count,2841,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,number records,NA,NA,count,2841,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,duration,NA,numeric,min,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,duration,NA,numeric,q05,28,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,duration,NA,numeric,q25,30,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,duration,NA,numeric,median,90,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,duration,NA,numeric,q75,182,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,duration,NA,numeric,q95,519,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,duration,NA,numeric,max,1397,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,duration,NA,numeric,mean,149.816965857093,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,duration,NA,numeric,sd,175.213184859696,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,duration,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,duration,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,number_exposures,NA,numeric,min,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,number_exposures,NA,numeric,q05,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,number_exposures,NA,numeric,q25,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,number_exposures,NA,numeric,median,2,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,number_exposures,NA,numeric,q75,4,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,number_exposures,NA,numeric,q95,12,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,number_exposures,NA,numeric,max,46,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,number_exposures,NA,numeric,mean,3.28194297782471,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,number_exposures,NA,numeric,sd,4.10638302836213,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,number_exposures,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,number_exposures,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,cumulative_quantity,NA,numeric,min,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,cumulative_quantity,NA,numeric,q05,30,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,cumulative_quantity,NA,numeric,q25,60,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,cumulative_quantity,NA,numeric,median,90,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,cumulative_quantity,NA,numeric,q75,180,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,cumulative_quantity,NA,numeric,q95,540,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,cumulative_quantity,NA,numeric,max,1440,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,cumulative_quantity,NA,numeric,mean,160.383667722633,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,cumulative_quantity,NA,numeric,sd,184.366759593539,PHARMETRICS,Summary drug use
cohort_name,simvastatin,age_group,20 to 39,cumulative_quantity,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
