cdm_name,result_type,group_name,group_level,strata_name,strata_level,variable,variable_level,variable_type,estimate_type,estimate
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,evolocumab,0 to 0,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,cerivastatin,0 to 0,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,cerivastatin,0 to 0,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,unexposed,0 to 0,binary,count,59075
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,unexposed,0 to 0,binary,percentage,98.4058502132196
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,atorvastatin,1 to 30,binary,count,732
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,atorvastatin,1 to 30,binary,percentage,1.21934968017058
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,evolocumab,1 to 30,binary,count,18
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,evolocumab,1 to 30,binary,percentage,0.0299840085287846
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,alirocumab,1 to 30,binary,count,5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,alirocumab,1 to 30,binary,percentage,0.00832889125799574
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,rosuvastatin,1 to 30,binary,count,342
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,rosuvastatin,1 to 30,binary,percentage,0.569696162046908
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pravastatin,1 to 30,binary,count,183
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pravastatin,1 to 30,binary,percentage,0.304837420042644
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,lovastatin,1 to 30,binary,count,48
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,lovastatin,1 to 30,binary,percentage,0.0799573560767591
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pitavastatin,1 to 30,binary,count,20
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pitavastatin,1 to 30,binary,percentage,0.0333155650319829
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,ezetimibe,1 to 30,binary,count,393
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,ezetimibe,1 to 30,binary,percentage,0.654650852878465
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,fluvastatin,1 to 30,binary,count,<5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,fluvastatin,1 to 30,binary,percentage,NA
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,cerivastatin,1 to 30,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,cerivastatin,1 to 30,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,unexposed,1 to 30,binary,count,58329
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,unexposed,1 to 30,binary,percentage,97.1631796375267
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,alirocumab,31 to 90,binary,count,7
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,alirocumab,31 to 90,binary,percentage,0.011660447761194
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,atorvastatin,31 to 90,binary,count,1220
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,atorvastatin,31 to 90,binary,percentage,2.03224946695096
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,rosuvastatin,31 to 90,binary,count,513
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,rosuvastatin,31 to 90,binary,percentage,0.854544243070362
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,evolocumab,31 to 90,binary,count,35
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,evolocumab,31 to 90,binary,percentage,0.0583022388059702
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pravastatin,31 to 90,binary,count,293
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pravastatin,31 to 90,binary,percentage,0.48807302771855
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pitavastatin,31 to 90,binary,count,25
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pitavastatin,31 to 90,binary,percentage,0.0416444562899787
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,lovastatin,31 to 90,binary,count,89
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,lovastatin,31 to 90,binary,percentage,0.148254264392324
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,fluvastatin,31 to 90,binary,count,5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,fluvastatin,31 to 90,binary,percentage,0.00832889125799574
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,ezetimibe,31 to 90,binary,count,669
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,ezetimibe,31 to 90,binary,percentage,1.11440565031983
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,cerivastatin,31 to 90,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,cerivastatin,31 to 90,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,unexposed,31 to 90,binary,count,57241
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,unexposed,31 to 90,binary,percentage,95.3508128997868
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,lovastatin,91 to 180,binary,count,96
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,lovastatin,91 to 180,binary,percentage,0.159914712153518
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,rosuvastatin,91 to 180,binary,count,867
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,rosuvastatin,91 to 180,binary,percentage,1.44422974413646
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,alirocumab,91 to 180,binary,count,10
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,alirocumab,91 to 180,binary,percentage,0.0166577825159915
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,fluvastatin,91 to 180,binary,count,<5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,fluvastatin,91 to 180,binary,percentage,NA
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,ezetimibe,91 to 180,binary,count,771
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,ezetimibe,91 to 180,binary,percentage,1.28431503198294
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,evolocumab,91 to 180,binary,count,58
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,evolocumab,91 to 180,binary,percentage,0.0966151385927505
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pitavastatin,91 to 180,binary,count,40
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pitavastatin,91 to 180,binary,percentage,0.0666311300639659
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pravastatin,91 to 180,binary,count,410
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pravastatin,91 to 180,binary,percentage,0.68296908315565
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,atorvastatin,91 to 180,binary,count,1803
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,atorvastatin,91 to 180,binary,percentage,3.00339818763326
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,cerivastatin,91 to 180,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,cerivastatin,91 to 180,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,unexposed,91 to 180,binary,count,56081
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,unexposed,91 to 180,binary,percentage,93.4185101279318
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,lovastatin,181 to 365,binary,count,104
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,lovastatin,181 to 365,binary,percentage,0.173240938166311
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pitavastatin,181 to 365,binary,count,43
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pitavastatin,181 to 365,binary,percentage,0.0716284648187633
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,ezetimibe,181 to 365,binary,count,845
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,ezetimibe,181 to 365,binary,percentage,1.40758262260128
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,rosuvastatin,181 to 365,binary,count,1322
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,rosuvastatin,181 to 365,binary,percentage,2.20215884861407
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,evolocumab,181 to 365,binary,count,80
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,evolocumab,181 to 365,binary,percentage,0.133262260127932
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,alirocumab,181 to 365,binary,count,15
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,alirocumab,181 to 365,binary,percentage,0.0249866737739872
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,fluvastatin,181 to 365,binary,count,7
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,fluvastatin,181 to 365,binary,percentage,0.011660447761194
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,atorvastatin,181 to 365,binary,count,2742
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,atorvastatin,181 to 365,binary,percentage,4.56756396588486
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pravastatin,181 to 365,binary,count,523
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pravastatin,181 to 365,binary,percentage,0.871202025586354
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,cerivastatin,181 to 365,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,cerivastatin,181 to 365,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,unexposed,181 to 365,binary,count,54584
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,unexposed,181 to 365,binary,percentage,90.9248400852878
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,number subjects,NA,numeric,count,253
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,number records,NA,NA,count,253
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,alirocumab,0 to 0,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,alirocumab,0 to 0,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,fluvastatin,0 to 0,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,fluvastatin,0 to 0,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,lovastatin,0 to 0,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,lovastatin,0 to 0,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pitavastatin,0 to 0,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pitavastatin,0 to 0,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,ezetimibe,0 to 0,binary,count,8
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,ezetimibe,0 to 0,binary,percentage,3.16205533596838
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,rosuvastatin,0 to 0,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,rosuvastatin,0 to 0,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,atorvastatin,0 to 0,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,atorvastatin,0 to 0,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pravastatin,0 to 0,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pravastatin,0 to 0,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,evolocumab,0 to 0,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,evolocumab,0 to 0,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,cerivastatin,0 to 0,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,cerivastatin,0 to 0,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,unexposed,0 to 0,binary,count,245
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,unexposed,0 to 0,binary,percentage,96.8379446640316
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,atorvastatin,1 to 30,binary,count,<5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,atorvastatin,1 to 30,binary,percentage,NA
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,evolocumab,1 to 30,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,evolocumab,1 to 30,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,alirocumab,1 to 30,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,alirocumab,1 to 30,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,rosuvastatin,1 to 30,binary,count,<5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,rosuvastatin,1 to 30,binary,percentage,NA
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pravastatin,1 to 30,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pravastatin,1 to 30,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,lovastatin,1 to 30,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,lovastatin,1 to 30,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pitavastatin,1 to 30,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pitavastatin,1 to 30,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,ezetimibe,1 to 30,binary,count,<5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,ezetimibe,1 to 30,binary,percentage,NA
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,fluvastatin,1 to 30,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,fluvastatin,1 to 30,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,cerivastatin,1 to 30,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,cerivastatin,1 to 30,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,unexposed,1 to 30,binary,count,246
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,unexposed,1 to 30,binary,percentage,97.2332015810277
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,alirocumab,31 to 90,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,alirocumab,31 to 90,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,atorvastatin,31 to 90,binary,count,5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,atorvastatin,31 to 90,binary,percentage,1.97628458498024
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,rosuvastatin,31 to 90,binary,count,<5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,rosuvastatin,31 to 90,binary,percentage,NA
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,evolocumab,31 to 90,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,evolocumab,31 to 90,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pravastatin,31 to 90,binary,count,<5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pravastatin,31 to 90,binary,percentage,NA
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pitavastatin,31 to 90,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pitavastatin,31 to 90,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,lovastatin,31 to 90,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,lovastatin,31 to 90,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,fluvastatin,31 to 90,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,fluvastatin,31 to 90,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,ezetimibe,31 to 90,binary,count,5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,ezetimibe,31 to 90,binary,percentage,1.97628458498024
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,cerivastatin,31 to 90,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,cerivastatin,31 to 90,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,unexposed,31 to 90,binary,count,238
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,unexposed,31 to 90,binary,percentage,94.0711462450593
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,lovastatin,91 to 180,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,lovastatin,91 to 180,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,rosuvastatin,91 to 180,binary,count,6
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,rosuvastatin,91 to 180,binary,percentage,2.37154150197628
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,alirocumab,91 to 180,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,alirocumab,91 to 180,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,fluvastatin,91 to 180,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,fluvastatin,91 to 180,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,ezetimibe,91 to 180,binary,count,<5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,ezetimibe,91 to 180,binary,percentage,NA
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,evolocumab,91 to 180,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,evolocumab,91 to 180,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pitavastatin,91 to 180,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pitavastatin,91 to 180,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pravastatin,91 to 180,binary,count,<5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pravastatin,91 to 180,binary,percentage,NA
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,atorvastatin,91 to 180,binary,count,6
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,atorvastatin,91 to 180,binary,percentage,2.37154150197628
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,cerivastatin,91 to 180,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,cerivastatin,91 to 180,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,unexposed,91 to 180,binary,count,238
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,unexposed,91 to 180,binary,percentage,94.0711462450593
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,lovastatin,181 to 365,binary,count,<5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,lovastatin,181 to 365,binary,percentage,NA
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pitavastatin,181 to 365,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pitavastatin,181 to 365,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,ezetimibe,181 to 365,binary,count,<5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,ezetimibe,181 to 365,binary,percentage,NA
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,rosuvastatin,181 to 365,binary,count,7
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,rosuvastatin,181 to 365,binary,percentage,2.76679841897233
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,evolocumab,181 to 365,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,evolocumab,181 to 365,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,alirocumab,181 to 365,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,alirocumab,181 to 365,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,fluvastatin,181 to 365,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,fluvastatin,181 to 365,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,atorvastatin,181 to 365,binary,count,6
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,atorvastatin,181 to 365,binary,percentage,2.37154150197628
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pravastatin,181 to 365,binary,count,<5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,pravastatin,181 to 365,binary,percentage,NA
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,cerivastatin,181 to 365,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,cerivastatin,181 to 365,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,unexposed,181 to 365,binary,count,237
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,0 to 19,unexposed,181 to 365,binary,percentage,93.6758893280632
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,20 to 39,number subjects,NA,numeric,count,2841
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,20 to 39,number records,NA,NA,count,2841
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,20 to 39,alirocumab,0 to 0,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,20 to 39,alirocumab,0 to 0,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,20 to 39,fluvastatin,0 to 0,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,20 to 39,fluvastatin,0 to 0,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,age_group,20 to 39,lovastatin,0 to 0,binary,count,0
